id;abc;fm;to;capacity;zona;stat;oper;region;area;ts
0;900;9850000;9899999;50000;2;mg;ООО "Т2 Мобайл";Липецкая обл.;Липецкая область;7743895280;2025-05-01 12:46:22
0;900;9900000;9999999;100000;3;mg;ООО "Т2 Мобайл";Псковская обл.;Псковская область;7743895280;2025-05-01 12:46:22
0;901;0000000;0009999;10000;3;mg;ООО "Т2 МОБАЙЛ";Ростовская обл.;Ростовская область;7743895280;2025-05-01 12:46:22
0;901;0010000;0019999;10000;4;mg;ООО "Т2 Мобайл";Республика Северная Осетия - Алания;Республика Северная Осетия - Алания;7743895280;2025-05-01 12:46:22
0;901;0020000;0099999;80000;3;mg;ООО "Т2 МОБАЙЛ";Краснодарский край;Краснодарский край;7743895280;2025-05-01 12:46:22
0;901;0100000;0134999;35000;4;mg;ООО "Т2 МОБАЙЛ";Республика Адыгея;Республика Адыгея;7743895280;2025-05-01 12:46:22
0;901;0135000;0135049;50;2;mg;ООО "Т2 Мобайл";Пензенская обл.;Пензенская область;7743895280;2025-05-01 12:46:22
0;901;0135050;0135099;50;3;mg;ООО "Т2 МОБАЙЛ";Республика Татарстан;Республика Татарстан;7743895280;2025-05-01 12:46:22
0;901;0135100;0135299;200;4;mg;ООО "Т2 Мобайл";Кабардино-Балкарская Республика;Кабардино-Балкарская Республика;7743895280;2025-05-01 12:46:22
0;901;0135300;0135499;200;5;mg;ООО "Т2 МОБАЙЛ";Республика Бурятия;Республика Бурятия;7743895280;2025-05-01 12:46:22
0;901;0135500;0135599;100;5;mg;ООО "Т2 МОБАЙЛ";Красноярский край;Красноярский край;7743895280;2025-05-01 12:46:22
0;901;0135600;0135699;100;5;mg;ООО "Т2 Мобайл";Забайкальский край;Забайкальский край;7743895280;2025-05-01 12:46:22
0;901;0135700;0135799;100;6;mg;ООО "Т2 МОБАЙЛ";Корякский округ;м.р-н Муниципальные районы Камчатского края, входящие в состав Корякского округа|Камчатский край;7743895280;2025-05-01 12:46:22
0;901;0135800;0135899;100;3;mg;ООО "Т2 Мобайл";Республика Калмыкия;Республика Калмыкия;7743895280;2025-05-01 12:46:22
0;901;0135900;0135999;100;5;mg;ООО "Т2 МОБАЙЛ";Республика Алтай;Республика Алтай;7743895280;2025-05-01 12:46:22
0;901;0136000;0136099;100;5;mg;ООО "Т2 МОБАЙЛ";Республика Тыва;Республика Тыва;7743895280;2025-05-01 12:46:22
0;901;0136100;0136199;100;5;mg;ООО "Т2 МОБАЙЛ";Иркутская обл.;Иркутская область;7743895280;2025-05-01 12:46:22
0;901;0136200;0136299;100;4;mg;ООО "Т2 Мобайл";Ставропольский край;Ставропольский край;7743895280;2025-05-01 12:46:22
0;901;0136300;0136399;100;5;mg;ООО "Т2 МОБАЙЛ";Красноярский край;Красноярский край;7743895280;2025-05-01 12:46:22
0;901;0136400;0136499;100;2;mg;ООО "Т2 Мобайл";Липецкая обл.;Липецкая область;7743895280;2025-05-01 12:46:22
